analysis_mode,analysis_scale,protocol,omitted_domain,n_domains_total,n_domains_retained,full_omitted_domain_spearman,chemistry_omitted_domain_spearman,omitted_domain_delta_spearman,full_all_domain_macro_spearman,full_lodo_domain_macro_spearman,full_lodo_influence_spearman,chemistry_all_domain_macro_spearman,chemistry_lodo_domain_macro_spearman,chemistry_lodo_influence_spearman,delta_all_domain_macro_spearman,delta_lodo_domain_macro_spearman,delta_lodo_influence_spearman,full_omitted_domain_rmse,chemistry_omitted_domain_rmse,omitted_domain_delta_rmse,full_all_domain_macro_rmse,full_lodo_domain_macro_rmse,full_lodo_influence_rmse,chemistry_all_domain_macro_rmse,chemistry_lodo_domain_macro_rmse,chemistry_lodo_influence_rmse,delta_all_domain_macro_rmse,delta_lodo_domain_macro_rmse,delta_lodo_influence_rmse,delta_spearman_definition,delta_rmse_definition,inference
post_hoc_exploratory,canonical_smiles_median_within_domain,target_ood,VAV1,8,7,0.1753822130572258,0.1517526756949611,0.0236295373622647,0.0166563985551361,-0.0060187178023051,-0.0226751163574413,0.097033279083885,0.0892162224251598,-0.0078170566587251,-0.0803768805287488,-0.095234940227465,-0.0148580596987162,0.9812938485015203,0.9833329817323064,0.0020391332307861,0.8607265237477282,0.8435026202114723,-0.0172239035362559,0.854789813329132,0.8364265035572501,-0.0183633097718819,-0.0059367104185962,-0.0070761166542222,-0.001139406235626,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,canonical_smiles_median_within_domain,target_ood,WIZ,8,7,0.0978802922523593,0.0928198406261069,0.0050604516262524,0.0166563985551361,0.0050529851698186,-0.0116034133853175,0.097033279083885,0.0976351988635675,0.0006019197796825,-0.0803768805287488,-0.0925822136937489,-0.0122053331650001,0.5142124356413209,0.5659417783838852,0.0517293427425643,0.8607265237477282,0.910228536334358,0.0495020125866297,0.854789813329132,0.8960538183213101,0.0412640049921781,-0.0059367104185962,-0.0141747180130478,-0.0082380075944515,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,formal_row_level,source_ood,MGDB,4,3,-0.0076010060719665,-0.0215325558815411,0.0139315498095746,0.1507862686082981,0.203582026835053,0.0527957582267549,0.2371977038513962,0.3234411237623753,0.0862434199109791,-0.086411435243098,-0.1198590969273223,-0.0334476616842242,0.7767610188905197,0.7767827937185214,2.177482800169717e-05,0.9891927114025668,1.0600032755732494,0.0708105641706824,0.9876196256866216,1.0578985696759884,0.0702789439893667,-0.0015730857159452,-0.0021047058972609,-0.0005316201813156,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,formal_row_level,source_ood,MGTbind,4,3,0.1237568595345418,0.0842988304229794,0.0394580291115623,0.1507862686082981,0.1597960716328836,0.0090098030245854,0.2371977038513962,0.2881639949942018,0.0509662911428056,-0.086411435243098,-0.1283679233613182,-0.0419564881182201,1.039147206344308,1.0716492845515078,0.0325020782071998,0.9891927114025668,0.9725412130886532,-0.0166514983139135,0.9876196256866216,0.9596097393983264,-0.0280098862882952,-0.0015730857159452,-0.0129314736903269,-0.0113583879743817,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,formal_row_level,source_ood,MolGlueDB,4,3,0.3467562563144961,0.3026402636730352,0.0441159926414608,0.1507862686082981,0.0854629393728988,-0.0653233292353993,0.2371977038513962,0.2153835172441832,-0.021814186607213,-0.086411435243098,-0.1299205778712843,-0.0435091426281863,1.0579756839903731,1.0958535888361316,0.0378779048457584,0.9891927114025668,0.9662650538732982,-0.0229276575292687,0.9876196256866216,0.9515416379701181,-0.0360779877165033,-0.0015730857159452,-0.0147234159031799,-0.0131503301872346,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,formal_row_level,source_ood,TPDdb,4,3,0.1402329646561212,0.5833842771911114,-0.4431513125349901,0.1507862686082981,0.1543040365923571,0.0035177679840589,0.2371977038513962,0.1218021794048245,-0.1153955244465717,-0.086411435243098,0.0325018571875326,0.1189132924306307,1.0828869363850673,1.0061928356403258,-0.0766941007447412,0.9891927114025668,0.9579613030750668,-0.0312314083275,0.9876196256866216,0.9814285557020536,-0.006191069984568,-0.0015730857159452,0.0234672526269866,0.0250403383429319,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,formal_row_level,target_ood,CCNK+CDK12,8,7,0.3348982500583158,0.3039800307735974,0.0309182192847183,0.0516817057724172,0.0112221994458603,-0.0404595063265569,0.1175179761203821,0.0908805397413513,-0.0266374363790307,-0.0658362703479648,-0.0796583402954909,-0.0138220699475261,0.8188423824829097,0.8000070370031314,-0.0188353454797783,0.8862004940771481,0.8958230814477536,0.0096225873706055,0.8786250732025194,0.8898562212310033,0.0112311480284839,-0.0075754208746287,-0.0059668602167503,0.0016085606578783,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,formal_row_level,target_ood,CDK2,8,7,-0.2259266075116436,-0.0364767904050361,-0.1894498171066074,0.0516817057724172,0.0913400362415688,0.0396583304691515,0.1175179761203821,0.1395172284811561,0.021999252360774,-0.0658362703479648,-0.0481771922395873,0.0176590781083774,0.5490750078443021,0.526080352033203,-0.0229946558110991,0.8862004940771481,0.9343612778246976,0.0481607837475495,0.8786250732025194,0.928988604798136,0.0503635315956165,-0.0075754208746287,-0.0053726730265616,0.002202747848067,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,formal_row_level,target_ood,CSNK1A1,8,7,0.1215916894527569,0.1365754089687529,-0.0149837195159959,0.0516817057724172,0.0416945652466544,-0.0099871405257628,0.1175179761203821,0.1147954857134719,-0.0027224904069101,-0.0658362703479648,-0.0731009204668175,-0.0072646501188527,1.0964527151413377,1.0775615612362144,-0.0188911539051233,0.8862004940771481,0.8561644624965498,-0.0300360315805983,0.8786250732025194,0.8502055749119914,-0.0284194982905279,-0.0075754208746287,-0.0059588875845583,0.0016165332900703,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,formal_row_level,target_ood,GSPT1,8,7,-0.1857716058935181,0.2150641861872378,-0.4008357920807559,0.0516817057724172,0.0856036074389794,0.0339219016665621,0.1175179761203821,0.1035828032536884,-0.0139351728666936,-0.0658362703479648,-0.0179791958147089,0.0478570745332558,1.2076796614145733,1.153690316461034,-0.0539893449535393,0.8862004940771481,0.8402748987432302,-0.0459255953339178,0.8786250732025194,0.839330038451303,-0.0392950347512164,-0.0075754208746287,-0.0009448602919273,0.0066305605827013,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,formal_row_level,target_ood,IKZF1,8,7,0.1629218413893152,0.1907889712942054,-0.0278671299048902,0.0516817057724172,0.0357902578271461,-0.0158914479452711,0.1175179761203821,0.1070506910955502,-0.0104672850248319,-0.0658362703479648,-0.071260433268404,-0.0054241629204392,0.9287234161722678,0.9571623749259724,0.0284389587537047,0.8862004940771481,0.8801257909207026,-0.0060747031564455,0.8786250732025194,0.8674054586705974,-0.0112196145319219,-0.0075754208746287,-0.0127203322501051,-0.0051449113754764,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,formal_row_level,target_ood,IKZF2,8,7,-0.1566300489692439,-0.0509065551334854,-0.1057234938357584,0.0516817057724172,0.0814405278783688,0.0297588221059515,0.1175179761203821,0.1415786234423631,0.024060647321981,-0.0658362703479648,-0.0601380955639943,0.0056981747839704,0.9575753852008854,0.9285011412882636,-0.0290742439126217,0.8862004940771481,0.8760040810594714,-0.0101964130176767,0.8786250732025194,0.8714999206188416,-0.0071251525836778,-0.0075754208746287,-0.0045041604406298,0.0030712604339988,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,formal_row_level,target_ood,VAV1,8,7,0.1929472804960975,0.1760553719250652,0.0168919085710322,0.0516817057724172,0.0315009093833201,-0.0201807963890971,0.1175179761203821,0.1091554910054273,-0.0083624851149547,-0.0658362703479648,-0.0776545816221072,-0.0118183112741424,1.0217199900438316,1.0195736284453345,-0.0021463615984971,0.8862004940771481,0.8668405660819077,-0.0193599279952404,0.8786250732025194,0.8584895653106887,-0.0201355078918308,-0.0075754208746287,-0.008351000771219,-0.0007755798965903,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,formal_row_level,target_ood,WIZ,8,7,0.1694228471572585,0.0050631853527195,0.1643596618045389,0.0516817057724172,0.0348615427174399,-0.0168201630549773,0.1175179761203821,0.1335829462300482,0.0160649701096661,-0.0658362703479648,-0.0987214035126082,-0.0328851331646434,0.5095353943170776,0.566424174227002,0.0568887799099244,0.8862004940771481,0.9400097940428724,0.0538092999657243,0.8786250732025194,0.9232252016275933,0.0446001284250737,-0.0075754208746287,-0.0167845924152792,-0.0092091715406505,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
