analysis_identity,weight_mode,fit_stage,n_fit_rows,clipping_fraction,effective_sample_size,effective_sample_fraction
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.03125,214.87755817453083,0.1721775305885663
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,793.2683592532844,0.8475089308261585
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0309829059829059,168.85130945953009,0.1803966981405236
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,770.0784695147588,0.822733407601238
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0341880341880341,166.08408864793418,0.1774402656495023
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,790.7966339749598,0.8448681986911964
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0331196581196581,167.3671360258321,0.1788110427626411
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,781.384784233883,0.8348128036686784
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.032051282051282,163.7527342421357,0.1749495023954441
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1045.150430964385,0.8374602812214621
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0288461538461538,208.110201199676,0.1667549689099967
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,783.3013089900066,0.8368603728525712
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.032051282051282,178.74465560216993,0.1909665123954806
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,795.5211649796869,0.8499157745509476
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0309829059829059,175.49251751613323,0.1874920058933047
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,793.3410423721815,0.8475865837309632
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.032051282051282,168.0429161523873,0.1795330300773368
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,786.2882034432598,0.8400514994051921
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.032051282051282,177.28762751710332,0.1894098584584437
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1052.7883750622912,0.8435804287358102
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0256410256410256,226.17501633082816,0.1812299810343174
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,778.9033667724597,0.8321617166372433
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0352564102564102,164.685950565399,0.1759465283818365
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,786.0281633635561,0.8397736788072181
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0256410256410256,183.317600446974,0.1958521372296731
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,786.7590992019608,0.840554593164488
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0331196581196581,170.40536943711308,0.1820570186293943
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,787.5576499213956,0.8414077456425167
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0256410256410256,179.48119380865842,0.1917534121887376
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1046.4053584718429,0.8384658321088485
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0264423076923076,218.6134496689236,0.1751710333885605
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,767.0107241977817,0.8194559019207069
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0331196581196581,163.1689977725945,0.1743258523211479
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,782.5633835541258,0.8360719909766302
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0363247863247863,159.71247570885575,0.1706329868684356
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,765.2106736138877,0.8175327709550082
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0341880341880341,168.555714119096,0.1800808911528803
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,802.321499988237,0.8571810897310224
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0352564102564102,163.4298069873189,0.1746044946445714
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1038.9392812125311,0.8324833984074769
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0288461538461538,208.38005864183052,0.1669712008348001
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,781.9328187042198,0.8353983105814314
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0331196581196581,162.53666991380857,0.1736502883694536
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,779.8556250233363,0.8331790865633935
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0416666666666666,155.2101091823131,0.1658227662204199
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,799.9985270518553,0.854699281038307
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0245726495726495,171.1023853159547,0.1828016937136268
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,791.7590626287999,0.8458964344324785
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0299145299145299,174.6016070819382,0.1865401785063442
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1051.0855292850397,0.842215968978397
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0264423076923076,210.88109361537596,0.1689752352687307
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,768.7068306878758,0.8212679815041408
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0373931623931623,174.15376286887982,0.1860617124667519
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,789.0130675544074,0.842962679011119
