axis,validation_regime,domain,model_id,context_group,n_rows,n_compounds,n_scaffolds,delta_spearman_observed,delta_spearman_ci_low,delta_spearman_ci_high,delta_spearman_n_valid
target,internal,GSPT1,chemistry_plus_missingness,Missingness,154,106,74,-0.015062859636778336,-0.03865733879843061,0.007738266594717407,10000
target,internal,WIZ,chemistry_plus_missingness,Missingness,150,123,47,-0.015249713612931703,-0.07263493729013756,0.034917952450238196,10000
target,internal,CDK2,chemistry_plus_missingness,Missingness,145,145,102,-0.030896891613424016,-0.06083996429357058,0.00023470679639844364,10000
target,internal,CCNK+CDK12,chemistry_plus_missingness,Missingness,86,73,52,-0.002474722848215094,-0.027479753603575956,0.028688318118027457,10000
target,internal,IKZF2,chemistry_plus_missingness,Missingness,76,65,32,-0.024445685342173118,-0.0616634428679123,0.02440077801127141,10000
target,internal,IKZF1,chemistry_plus_missingness,Missingness,65,60,34,-0.060219929228921665,-0.20998052892112262,0.03546604155436763,10000
target,internal,VAV1,full_context_extra_trees,Full context,455,404,230,0.028650818906392317,-0.0021719087570924583,0.06546839610377195,10000
target,internal,CSNK1A1,full_context_extra_trees,Full context,159,139,68,0.0940790123466197,-0.04505408561089907,0.23459850343433084,10000
target,internal,GSPT1,full_context_extra_trees,Full context,154,106,74,0.03409875122967265,-0.02703811779692609,0.11415608421646305,10000
target,internal,WIZ,full_context_extra_trees,Full context,150,123,47,0.0004298624668999107,-0.04837474778709799,0.04019579413299626,10000
target,internal,CDK2,full_context_extra_trees,Full context,145,145,102,0.007437848987586371,-0.016956562695174336,0.03084711188450494,10000
target,internal,CCNK+CDK12,full_context_extra_trees,Full context,86,73,52,-0.015805628625635115,-0.08859129174940057,0.05597911280007767,10000
target,internal,IKZF2,full_context_extra_trees,Full context,76,65,32,0.14227453263364398,-0.2924705251976505,0.4196872856864254,10000
target,internal,IKZF1,full_context_extra_trees,Full context,65,60,34,-0.0018161734293293263,-0.13828593625989333,0.13082231844710315,10000
target,ood,VAV1,chemistry_plus_provenance,Provenance,455,404,230,0.05294454438874477,0.006391799525486599,0.10948225113724062,10000
target,ood,CSNK1A1,chemistry_plus_provenance,Provenance,159,139,68,0.014572687884710195,-0.022698147445247577,0.06675746306084723,10000
target,ood,GSPT1,chemistry_plus_provenance,Provenance,154,106,74,-0.05243060405360361,-0.19488306563650856,0.07970099039552718,10000
