protocol,heldout_group,model_id,param_id,n_train_rows,n_train_unique_smiles,n_train_scaffolds,n_test_rows,n_test_unique_smiles,n_test_scaffolds,spearman,pearson,rmse,mae,r2,calibration_intercept,calibration_slope,rdkit_kept,rdkit_total,rdkit_train_missing,rdkit_eval_missing,context_dim,chemistry_dim,full_dim,permutation_n_strata,permutation_n_singleton_strata,permutation_singleton_row_fraction,permutation_changed_label_fraction,permutation_label_pearson
source_ood,TPDdb,full_context_label_shuffle,shuffle::leaf_1_maxfeat_sqrt,1360,1019,621,119,118,58,-0.2678848926802371,-0.1182465553283691,1.2032310637254708,0.9536920785903932,-0.1358722448348999,10.66921584531308,-0.4584178479677565,196,217,0,0,317,2244,2561,86.0,32.0,0.0235294117647058,0.9198529411764704,0.3105455800961732
target_ood,VAV1,global_mean,global,1105,733,437,455,404,230,,,1.0400335034145738,0.8005596399307251,-0.0194426774978637,,,194,217,0,0,342,2242,2584,,,,,
target_ood,VAV1,hierarchical_context_mean,smoothing_2,1105,733,437,455,404,230,,,1.0400335034145738,0.8005596399307251,-0.0194426774978637,,,194,217,0,0,342,2242,2584,,,,,
target_ood,VAV1,context_ridge,alpha_1,1105,733,437,455,404,230,-0.2355196450541052,-0.2336674034595489,1.0682978359540078,0.7983461022377014,-0.075605034828186,104.65348776850958,-13.0336370318332,194,217,0,0,342,2242,2584,,,,,
target_ood,VAV1,context_extra_trees,leaf_1_maxfeat_0p3,1105,733,437,455,404,230,0.2355196450541052,0.2336674034595489,1.201080864660652,0.840610921382904,-0.3596047163009643,-20.699265024802397,3.5553733821767817,194,217,0,0,342,2242,2584,,,,,
target_ood,VAV1,morgan_knn,k_5_power_2,1105,733,437,455,404,230,-0.0553084584990324,-0.1054017469286918,1.206773008109438,0.9911783933639526,-0.3725219964981079,8.882093747687904,-0.2424304174728943,194,217,0,0,342,2242,2584,,,,,
target_ood,VAV1,chemistry_extra_trees,leaf_5_maxfeat_sqrt,1105,733,437,455,404,230,0.1760553719250652,0.1510289013385772,1.019573634644152,0.7976278066635132,0.0202724337577819,-0.1524876934359229,1.013859751871362,194,217,0,0,342,2242,2584,,,,,
target_ood,VAV1,full_context_extra_trees,leaf_5_maxfeat_sqrt,1105,733,437,455,404,230,0.1929472804960975,0.1617572158575058,1.0217199692089545,0.7878427505493164,0.0161431431770324,-1.3333386963813814,1.1686777511568929,194,217,0,0,342,2242,2584,,,,,
target_ood,VAV1,full_context_label_shuffle,shuffle::leaf_5_maxfeat_sqrt,1105,733,437,455,404,230,-0.0124135116998962,-0.0206842310726642,1.0553299818999844,0.7979857325553894,-0.0496504306793212,10.186856839665197,-0.4007761835484099,194,217,0,0,342,2242,2584,96.0,36.0,0.0325791855203619,0.8895927601809954,0.437300760550934
target_ood,CSNK1A1,global_mean,global,1270,998,603,159,139,68,,,1.0706691287021508,0.930258333683014,-0.0668942928314209,,,194,217,0,0,319,2242,2561,,,,,
target_ood,CSNK1A1,hierarchical_context_mean,smoothing_2,1270,998,603,159,139,68,,,1.0706691287021508,0.930258333683014,-0.0668942928314209,,,194,217,0,0,319,2242,2561,,,,,
target_ood,CSNK1A1,context_ridge,alpha_10,1270,998,603,159,139,68,-0.2890820779677205,-0.4579614996910095,1.1363433532638618,0.9372336864471436,-0.2017937898635864,26.744973896767743,-2.529729778021199,194,217,0,0,319,2242,2561,,,,,
target_ood,CSNK1A1,context_extra_trees,leaf_5_maxfeat_sqrt,1270,998,603,159,139,68,-0.3347066432699304,-0.4353989064693451,1.0693767940432617,0.900646448135376,-0.0643203258514404,55.43780347012487,-6.358271922371139,194,217,0,0,319,2242,2561,,,,,
target_ood,CSNK1A1,morgan_knn,k_5_power_2,1270,998,603,159,139,68,0.0112423423447194,-0.008267767727375,1.4189403557477516,1.2190160751342771,-0.873868465423584,7.629888896075007,-0.0139758458503555,194,217,0,0,319,2242,2561,,,,,
target_ood,CSNK1A1,chemistry_extra_trees,leaf_1_maxfeat_sqrt,1270,998,603,159,139,68,0.1365754089687529,0.1612617522478103,1.0775615491347894,0.9327977895736694,-0.0806747674942016,3.699324756727694,0.530485265276727,194,217,0,0,319,2242,2561,,,,,
