record_type,protocol,model_id,cluster_unit,n_clusters,n_domains,n_bootstrap,domain_macro_spearman_observed,domain_macro_spearman_bootstrap_mean,domain_macro_spearman_ci_low,domain_macro_spearman_ci_high,domain_macro_spearman_n_valid,domain_macro_rmse_observed,domain_macro_rmse_bootstrap_mean,domain_macro_rmse_ci_low,domain_macro_rmse_ci_high,domain_macro_rmse_n_valid,pooled_spearman_observed,pooled_spearman_bootstrap_mean,pooled_spearman_ci_low,pooled_spearman_ci_high,pooled_spearman_n_valid,pooled_rmse_observed,pooled_rmse_bootstrap_mean,pooled_rmse_ci_low,pooled_rmse_ci_high,pooled_rmse_n_valid,contrast_id,first_model,comparator_model,delta_direction,delta_domain_macro_spearman_observed,delta_domain_macro_spearman_bootstrap_mean,delta_domain_macro_spearman_ci_low,delta_domain_macro_spearman_ci_high,delta_domain_macro_spearman_n_valid,delta_domain_macro_rmse_observed,delta_domain_macro_rmse_bootstrap_mean,delta_domain_macro_rmse_ci_low,delta_domain_macro_rmse_ci_high,delta_domain_macro_rmse_n_valid,delta_pooled_spearman_observed,delta_pooled_spearman_bootstrap_mean,delta_pooled_spearman_ci_low,delta_pooled_spearman_ci_high,delta_pooled_spearman_n_valid,delta_pooled_rmse_observed,delta_pooled_rmse_bootstrap_mean,delta_pooled_rmse_ci_low,delta_pooled_rmse_ci_high,delta_pooled_rmse_n_valid
contrast,source_ood,,global scaffold_id,667,4,10000,,,,,,,,,,,,,,,,,,,,,chemistry_extra_trees_vs_morgan_knn,chemistry_extra_trees,morgan_knn,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,0.1271283552185666,0.1094628159076816,0.003615883781093,0.2062547322940741,10000.0,0.1008287584458855,0.1003208215082938,0.0497938464076884,0.1530294028923199,10000.0,0.0155841553846675,0.0152347800438388,-0.1193540262988591,0.1373129052595785,10000.0,0.0429066574468819,0.0423268841466134,-0.0170042149664646,0.0983965836224649,10000.0
contrast,source_ood,,global scaffold_id,667,4,10000,,,,,,,,,,,,,,,,,,,,,full_vs_chemistry_extra_trees,full_context_extra_trees,chemistry_extra_trees,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,-0.086411435243098,-0.0777960084032949,-0.1507022750045792,-0.0111829352685125,10000.0,-0.0015730857159452,-0.0020781486067349,-0.0324516250089852,0.0254378927202499,10000.0,0.0026907755095404,0.002204837129669,-0.0494291992978124,0.0551709409218224,10000.0,0.0185158918803106,0.0184276179294877,-0.007200350457309,0.0447043976953504,10000.0
contrast,source_ood,,global scaffold_id,667,4,10000,,,,,,,,,,,,,,,,,,,,,full_vs_label_shuffle_sanity_control,full_context_extra_trees,full_context_label_shuffle,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,0.1670016228519327,0.1558897303653627,0.0474507764462141,0.2480847761982529,10000.0,0.037783549494244,0.0366971283525938,-0.0104567267426079,0.0827175138804573,10000.0,0.1297366070052801,0.1282871707438152,0.0380940914537501,0.2153845217304564,10000.0,0.0221566454181892,0.021752993373836,-0.0153090236017564,0.0561049361187783,10000.0
model,target_ood,global_mean,global scaffold_id,601,8,10000,,,,,0.0,0.9083174624489035,0.90372191756037,0.8540074582741387,0.9510233429377556,10000.0,-0.2300187267039526,-0.2271742174170592,-0.338494909253813,-0.1094892271195017,10000.0,0.9620998869426208,0.9607306939969872,0.8928179485082463,1.0300933794378402,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
model,target_ood,hierarchical_context_mean,global scaffold_id,601,8,10000,,,,,0.0,0.9083174624489035,0.90372191756037,0.8540074582741387,0.9510233429377556,10000.0,-0.2300187267039526,-0.2271742174170592,-0.338494909253813,-0.1094892271195017,10000.0,0.9620998869426208,0.9607306939969872,0.8928179485082463,1.0300933794378402,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
model,target_ood,context_ridge,global scaffold_id,601,8,10000,,,,,0.0,0.9576442838827012,0.9536575602528208,0.8997208737676249,1.0090972667896076,10000.0,-0.1839211684182934,-0.1849065395505402,-0.2912179965343751,-0.0718741576618365,10000.0,1.0133806424072538,1.0120003326352909,0.935016246924224,1.0887578910430524,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
model,target_ood,context_extra_trees,global scaffold_id,601,8,10000,,,,,0.0,0.9831534265245224,0.9755822398091296,0.9194361897208064,1.0283800434641366,10000.0,-0.083492298555694,-0.0825722439554358,-0.1929630612066136,0.0297708257721598,10000.0,1.0585594863059764,1.0562675570139688,0.9645095952987656,1.1517756732899331,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
model,target_ood,morgan_knn,global scaffold_id,601,8,10000,0.0016468028974713,0.0029322021653099,-0.1020991233434782,0.1139502453090821,10000.0,1.063866779028033,1.0590707426116217,0.9993274256563136,1.1178212379247268,10000.0,0.0190867278347399,0.016568953376727,-0.1039710044092609,0.1344797055367046,10000.0,1.1356433957789498,1.1344492844417289,1.0609762321990404,1.2140834140412888,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
model,target_ood,chemistry_extra_trees,global scaffold_id,601,8,10000,0.1175179761203821,0.1177353346590826,0.0190121503958255,0.2172466001084502,10000.0,0.8786250732025195,0.8735855041840925,0.8218272619768258,0.9237990548770104,10000.0,0.1823815205119482,0.1781753101773922,0.0546703746672791,0.2929923046487555,10000.0,0.9363252423579072,0.9352847994686704,0.8708028212367416,1.0007500705711467,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
model,target_ood,full_context_extra_trees,global scaffold_id,601,8,10000,0.0516817057724172,0.0510254802455235,-0.0469258666105913,0.1542219076607978,10000.0,0.8862004940771482,0.8807614381214087,0.8294057822129987,0.9288735447975242,10000.0,0.1281932015927282,0.1240193514117951,-0.0060253878055093,0.2495666932514762,10000.0,0.9469712146547672,0.9458256043229246,0.8774373685441511,1.0146454224788115,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
