analysis_identity,regime,protocol,similarity_bin,heldout_group,model_id,n_rows,n_unique_smiles,n_scaffolds,spearman,rmse,mae,spearman_non_estimable_reason,rmse_non_estimable_reason,mae_non_estimable_reason
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.6_to_lt_0.8,IKZF1,chemistry_extra_trees,31,27,15,0.1119854721549636,1.0526671238122185,0.8564775066991006,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.6_to_lt_0.8,IKZF2,chemistry_extra_trees,18,16,7,0.3195456679439276,0.3997175824154984,0.322750276989407,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.6_to_lt_0.8,CDK2,full_context_extra_trees,3,3,3,-1.0,0.6155411640122519,0.5210178693135582,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.6_to_lt_0.8,CSNK1A1,full_context_extra_trees,47,37,16,0.4449715767542382,0.9249465914679252,0.8210396259389026,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.6_to_lt_0.8,GSPT1,full_context_extra_trees,19,14,8,-0.0043994929260693,1.257341331245022,1.0880037859866494,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.6_to_lt_0.8,IKZF1,full_context_extra_trees,31,27,15,0.0705929867842673,1.0254299862073228,0.8518099169577321,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.6_to_lt_0.8,IKZF2,full_context_extra_trees,18,16,7,0.0691434468524251,0.456668597093178,0.3581116729312471,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.8_to_1.000001,CSNK1A1,chemistry_extra_trees,8,8,4,-0.119047619047619,1.3460056430819598,1.1798325777053833,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.8_to_1.000001,GSPT1,chemistry_extra_trees,6,6,3,0.4857142857142857,0.9442026156809172,0.783350944519043,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.8_to_1.000001,IKZF1,chemistry_extra_trees,22,21,14,0.343988808456147,0.7977650961759344,0.6426314440640536,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.8_to_1.000001,IKZF2,chemistry_extra_trees,5,4,3,0.6668859288553501,0.5228384254880567,0.4527000427246094,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.8_to_1.000001,CSNK1A1,full_context_extra_trees,8,8,4,-0.1904761904761905,1.2886960302680377,1.114731252193451,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.8_to_1.000001,GSPT1,full_context_extra_trees,6,6,3,0.6,0.9803428594327956,0.8282717863718667,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.8_to_1.000001,IKZF1,full_context_extra_trees,22,21,14,0.2714933863797022,0.7846261046188112,0.616707996888594,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.8_to_1.000001,IKZF2,full_context_extra_trees,5,4,3,0.7,0.548417015448213,0.4259928703308105,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.0_to_lt_0.4,MGDB,chemistry_extra_trees,199,194,108,0.233866377860149,0.6691108794809382,0.490095420099383,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.0_to_lt_0.4,MGTbind,chemistry_extra_trees,545,531,319,-0.0450934431858145,1.121518450566164,0.9538037133873056,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.0_to_lt_0.4,MolGlueDB,chemistry_extra_trees,67,56,26,0.422348423462451,1.0991847772851964,0.8534310255477677,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.0_to_lt_0.4,TPDdb,chemistry_extra_trees,3,2,2,0.8660254037844387,1.3360186547770154,1.0610000292460124,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.0_to_lt_0.4,MGDB,full_context_extra_trees,199,194,108,0.1131017054718149,0.6959162129431534,0.5120051817678327,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.0_to_lt_0.4,MGTbind,full_context_extra_trees,545,531,319,-0.0815811590436279,1.0782827887103612,0.911042322806262,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.0_to_lt_0.4,MolGlueDB,full_context_extra_trees,67,56,26,0.5064607238469411,1.0569209073773538,0.8195747973313973,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.0_to_lt_0.4,TPDdb,full_context_extra_trees,3,2,2,1.0,1.4364404487327358,1.1509207089742024,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.4_to_lt_0.6,MGDB,chemistry_extra_trees,116,108,78,-0.2221850587849748,0.7911072151661676,0.5947972453873733,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.4_to_lt_0.6,MGTbind,chemistry_extra_trees,124,90,54,0.2077023802371451,1.1089547260016184,0.9324476641993368,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.4_to_lt_0.6,MolGlueDB,chemistry_extra_trees,139,115,74,0.3169511689257269,1.0538515233108234,0.8610916926706438,,,
