analysis_identity,regime,protocol,similarity_bin,similarity_bin_left,similarity_bin_right_exclusive,model_id,n_rows,n_unique_smiles,n_scaffolds,n_heldout_groups,n_domains_expected,n_domains_total,spearman,rmse,mae,spearman_non_estimable_reason,rmse_non_estimable_reason,mae_non_estimable_reason,domain_macro_spearman,domain_macro_spearman_finite_domains,domain_macro_rmse,domain_macro_rmse_finite_domains,domain_macro_mae,domain_macro_mae_finite_domains,domain_macro_non_estimable_reason
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.0_to_lt_0.4,0.0,0.4,full_context_extra_trees,814,740,439,4,4,4,0.0731561469141035,0.9982036975038928,0.8068444356871471,,,,0.384495317568782,4,1.066890089440901,4,0.8483857527199237,4,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.4_to_lt_0.6,0.4,0.6,chemistry_extra_trees,432,290,182,4,4,4,0.1477429519092704,1.0453582754916382,0.8442913194497427,,,,0.1297036862577433,4,1.0689530257476347,4,0.8820941217691322,4,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.4_to_lt_0.6,0.4,0.6,full_context_extra_trees,432,290,182,4,4,4,-0.0625465931833359,1.0899563621430004,0.8792075636210265,,,,-0.093392529673066,4,1.1153138303735797,4,0.9263090437000132,4,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.6_to_lt_0.8,0.6,0.8,chemistry_extra_trees,207,161,86,4,4,4,0.0242764282155814,0.9912131458201264,0.7968963540118673,,,,0.2103244645061762,4,0.972347885688633,4,0.7850720186309526,4,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.6_to_lt_0.8,0.6,0.8,full_context_extra_trees,207,161,86,4,4,4,-0.0488514869937544,0.989904453419262,0.7891577752891946,,,,0.1193074522590652,4,0.9937663326618114,4,0.7909554568241579,4,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.8_to_1.000001,0.8,1.000001,chemistry_extra_trees,67,47,42,4,4,4,-0.0234410896633382,1.0096323409084875,0.7679942828505786,,,,0.087660885066441,4,0.9292987336229864,4,0.7326443328374173,4,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.8_to_1.000001,0.8,1.000001,full_context_extra_trees,67,47,42,4,4,4,0.0384872525625295,0.937982922563434,0.7096983852671154,,,,0.2146197455829935,4,0.8536867073079755,4,0.6834715632489758,4,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,0.0,0.4,chemistry_extra_trees,744,663,384,7,8,7,0.2726676611312947,0.9047608009012584,0.6900835735823518,,,,-0.0259290537079728,6,0.9980740612008348,7,0.8646768352646452,7,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,0.0,0.4,full_context_extra_trees,744,663,384,7,8,7,0.2940808532902659,0.90564477898652,0.6818293243326167,,,,-0.0127972045932206,6,1.0126528851428085,7,0.8781627868744574,7,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.4_to_lt_0.6,0.4,0.6,chemistry_extra_trees,454,336,212,7,8,7,0.0649002897963227,0.9794694235539232,0.8086423033659679,,,,0.1436684002695524,7,0.902687747895082,7,0.7581763899077825,7,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.4_to_lt_0.6,0.4,0.6,full_context_extra_trees,454,336,212,7,8,7,-0.1033244045772221,1.0057583865569426,0.8292210564214227,,,,0.0427571866922293,7,0.9023820084697984,7,0.7532348500836604,7,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.6_to_lt_0.8,0.6,0.8,chemistry_extra_trees,77,48,31,5,8,5,-0.0657560000916702,0.9638888355046994,0.7397494997297015,,,,-0.2205467993981618,5,0.864194196872217,5,0.7198908151772917,5,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.6_to_lt_0.8,0.6,0.8,full_context_extra_trees,77,48,31,5,8,5,-0.2170900855196545,1.0105369418367374,0.7787828693142185,,,,-0.2827949234619703,5,0.9104727126890856,5,0.7549850489727404,5,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.8_to_1.000001,0.8,1.000001,chemistry_extra_trees,15,11,9,3,8,3,0.0697675534954274,0.7262153731152914,0.6137886683146159,,,,0.3769494767825092,3,0.7383239212328846,3,0.6248496434045215,3,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.8_to_1.000001,0.8,1.000001,full_context_extra_trees,15,11,9,3,8,3,-0.1214285714285714,0.6975384719105742,0.5662033716837562,,,,0.3761904761904762,3,0.723369590440255,3,0.5922306666298516,3,
